Purchase_date,Customer_ID,Title,Item_Price,Total_Amount,Quantity,Category,Book_Age,Author,google_rating,google_ratings_count,google_page_count,google_categories,google_description
2019-07-07T14:20:15+00:00,B07FWWYZT,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-07T14:20:15+00:00,B07FWWYZT,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-07T14:20:15+00:00,B07FWWYZT,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-07T14:54:06+00:00,B07FWVWUZ,science class 10 ncert text book,198.0,265.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-07T15:11:59+00:00,B07FWWATR,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-07T15:11:59+00:00,B07FWWATR,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-07T15:11:59+00:00,B07FWWATR,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-07T15:28:18+00:00,B07FWVWUS,Chemistry Textbook Part - 2 for Class - 12 with Free Car Anti Slip Mat,192.0,259.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-07T15:28:18+00:00,B07FWVWUS,Chemistry Textbook Part - 2 for Class - 12 with Free Car Anti Slip Mat,192.0,259.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-07T15:43:37+00:00,B07FWVWRU,Chemistry Textbook Part - 2 for Class - 12 with Free Car Anti Slip Mat,192.0,259.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-07T15:43:37+00:00,B07FWVWRU,Chemistry Textbook Part - 2 for Class - 12 with Free Car Anti Slip Mat,192.0,259.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-07T16:11:51+00:00,B07FWWUVY,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-07T16:11:51+00:00,B07FWWUVY,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-07T16:11:51+00:00,B07FWWUVY,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
